nombre|artista|duracion
Light Me Up|Ingrid Michaelson|247840
93 Million Miles|Jason Mraz|216386
Kaleidoscope|A Great Big World|229320
The Long Road|Eddie Vedder;Nusrat Fateh Ali Khan|330933
What Would I Do Without You|Drew Holcomb & The Neighbors|172213
Have It All|Jason Mraz|226106
Heavy Heart|Gabrielle Aplin|235173
The House We Never Built|Gabrielle Aplin|195213
Society|Eddie Vedder|236306
Please Don't Say You Love Me|Gabrielle Aplin|181400
Please Don't Say You Love Me|Gabrielle Aplin|181400
Guaranteed|Eddie Vedder|164500
Brave|Sara Bareilles|220573
Lonely This Christmas|KT Tunstall|257493
Lonely This Christmas|KT Tunstall|257493
Heaven Knows|Five For Fighting|210612
I Heard The Bells On Christmas Day|The Civil Wars|154440
I Heard The Bells On Christmas Day|The Civil Wars|154440
Fairytale Of New York|KT Tunstall|263866
I Heard The Bells On Christmas Day|The Civil Wars|154440
I Heard The Bells On Christmas Day|The Civil Wars|154440
I Heard The Bells On Christmas Day|The Civil Wars|154440
I Heard The Bells On Christmas Day|The Civil Wars|154440
I Heard The Bells On Christmas Day|The Civil Wars|154440
Hold On|KT Tunstall|177613
Suddenly I See|KT Tunstall|199040
Rain|Motohiro Hata|293040
Somebody Else - Acoustic|Callum J Wright|138495
Pieces (Hushed)|Andrew Belle|198626
Mirrors|Boyce Avenue;Fifth Harmony|292566
Stand by Me|Boyce Avenue|199019
Losing Me|Gabrielle Aplin;JP Cooper|181760
なんでもないや - movie ver.|Mone Kamishiraishi|349920
You’re Beautiful - Acoustic|John Adams|204973
Hikare Inochi|Kitri|322146
How To Lose a Girl|Tyler Ward|210375
Can’t Help Falling in Love|Boyce Avenue|131000
Dive Deep (Hushed)|Andrew Belle|218531
When the Party's over (Acoustic Piano)|Ben Woodward|195945
Boston|Augustana|245933
Living in the Shadows|Matthew Perryman Jones|212386
In Case You Didn’t Know|Boyce Avenue|225165
death bed (coffee for your head)|Andrew Foy;Renee Foy|112008
You Are My Sunshine|Kina Grannis|123609
I Won't Give Up|Jason Mraz|240165
I Was Born To Love You|Ray LaMontagne;Sierra Ferrell|265843
Only Love Can Hurt Like This|Meg Birch|194194
Mr Blue|Catherine Feeny|154600
Do Not Let Me Go|Joshua Hyslop|158960
Holding On And Letting Go|Ross Copperman|319000
You Already Know|JJ Heller|214360
Believer (Remix)|Ben Woodward|204480
Collide - Acoustic Version|Howie Day|277000
Love Like This|Ben Rector|214240
Come On Get Higher|Matt Nathanson|215173
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]"|Rachael Yamagata|296862
Kiss Me Slowly|Parachute|235813
Without You|Parachute|228933
Absolutely Zero|Jason Mraz|339196
Sleep All Day|Jason Mraz|296843
You and I Both|Jason Mraz|218240
Long Nights|Eddie Vedder|151773
Please Don't Say You Love Me|Gabrielle Aplin|181400
Suddenly I See|KT Tunstall|201706
Who Needs Shelter|Jason Mraz|192260
No Stopping Us|Jason Mraz|198855
I'll Do Anything|Jason Mraz|191889
Make You Feel My Love|JJ Heller|171293
The Remedy (I Won't Worry)|Jason Mraz|256440
Too Much Food|Jason Mraz|221425
The Boy's Gone|Jason Mraz|255047
On Love, in Sadness|Jason Mraz|208793
Curbside Prophet|Jason Mraz|214552
Tonight, Not Again - Live|Jason Mraz|264280
Tonight, Not Again|Jason Mraz|289041
Hard Sun|Eddie Vedder|322080
Here with Me|Susie Suh;Robot Koch|238971
The Scientist|Tyler Ward;Lindsey Stirling;Kina Grannis|276575
Collide|Howie Day|249120
get better|Eden Elf;Ren Avel|111734
Sympathy|Kitri|210760
Let It Go|Boyce Avenue;Rachel Grae|255688
What You Need|Chord Overstreet|181786
100 Years|Five For Fighting|244600
You're the Sea|Andrew Belle|174546
No Direction|Rachael Yamagata|234330
Belong|Cary Brothers|255600
As It Was|The Mayries|176542
I'm Yours|Jason Mraz|243494
Chi Mai|Joseph Sullinger|188695
Say Something|A Great Big World;Christina Aguilera|229400
Had It All|Parachute|216853
Take Me Back ft. Yonnyboii|Zack Tabudlo;Yonnyboii|149000
Whole Again - Acoustic Version|Tobey Rosen|157231
Overpass Graffiti|The Mayries|226603
Love Song|Sara Bareilles|258826
Let Her Go|Andrew Foy;Renee Foy|194013
Brighter Than Sunshine|Aqualung|242439
Love Story|Tyler Ward;Karis;Ray Lorraine|232500
Mujer con Abanico|Agustín Amigó;Nylonwings|156787
In the Shadows|Amy Stroup|263823
Can You Feel the Love Tonight|Boyce Avenue;Connie Talbot|250916
The Story|Brandi Carlile|238493
Better|JJ Heller|215906
Iris|Kina Grannis|181136
Rockabye - Acoustic Version|The Mayries|157466
I Need You More Today|Caleb Santos;Viva Music Publishing Inc.|233728
Beautiful Soul|Boyce Avenue|216612
Let's See What The Night Can Do|Jason Mraz|245186
La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]|Rachael Yamagata|219613
Forever And Always|Parachute|248960
Fine On The Outside|Priscilla Ahn|252466
Tortured Soul|Chord Overstreet|246613
I Believe in You|JJ Heller|198786
At Home|Jon Bryant|226640
Portland, Maine|Donovan Woods|203869
Holding On and Letting Go|Ross Copperman|317441
The Flood|Joshua Hyslop|261640
Hanggang Kailan (Umuwi Ka Na Baby)|Angelina Cruz|211933
Out of My League|Stephen Speaks|218800
Say Something|A Great Big World|233266
Rise|Eddie Vedder|156453
World Spins Madly On|The Weepies;Deb Talan;Steve Tannen|165133
Stumble|Freddie King|216626
Paradise|Taj Mahal|251426
Moonlight, Mistletoe & You|Keb' Mo';Gerald Albright|209293
ひまわりの約束|Motohiro Hata|308146
Since U Been Gone - Acoustic Version|Thomas Daniel|221170
One more time,One more chance|Masayoshi Yamazaki|330786
Creep|Kina Grannis|234135
Higher Love|Todd Carey;Ariza;Chuck Leavell|173250
Hyouriittai|YUZU|336619
How Long Will I Love You|Canyon City|144830
Binibini|Zack Tabudlo|221538
You Were Supposed to Be Different|Aron Wright|192972
Thinking out Loud|Boyce Avenue|278640
Perfect / Style|Jonah Baker|212864
Poison & Wine|The Civil Wars|219466
Collide|Howie Day|249120
You And I|Ingrid Michaelson|148400
Give Me Your Forever (ft. Billkin)|Zack Tabudlo;Billkin|244800
Falling in Love at a Coffee Shop|Landon Pigg|270840
Breathe (2 AM)|Anna Nalick|279826
Habang Buhay|Zack Tabudlo|244067
Beautiful Soul|Jonah Baker|214738
Bulletproof|Ben Woodward|207677
Spectrum|Andrew Belle|265506
Girls Like You - Acoustic Version|Jonah Baker|188494
Nangangamba|Zack Tabudlo|210354
Better Together|Us The Duo|200706
Heartbreak Anniversary|Andrew Foy;Renee Foy|199256
One More Time Around|Tyler Ward;Karis;Ray Lorraine|205666
Say Something|A Great Big World|229573
Heart Can’t Lose|Zack Tabudlo|240952
I Ain't Ever Loved No One - Acoustic|Donovan Woods;Tenille Townes|199594
Empty|Ray LaMontagne|317280
See You Again, Love Me Like You Do, Sugar - Acoustic Mashup|Megan Davies|231965
The Reason|Tim Halperin|200800
Fix You|Canyon City|261665
Hand to Hold|JJ Heller|231605
Hold You in My Arms|Ray LaMontagne|306200
One Last Dance|Us The Duo|224847
Heaven|Boyce Avenue;Megan Nicole|250063
The Spark - Bonus Track|Joshua Hyslop|201933
American Beauty|Drew Holcomb & The Neighbors|158013
Such A Simple Thing|Ray LaMontagne|296386
Colors|Amos Lee|160453
Someone You Loved|Boyce Avenue|182442
More Than Friends (feat. Meghan Trainor)|Jason Mraz;Meghan Trainor|181360
Flurry Rush|Days N Daze|169318
I Choose You|Sara Bareilles|218573
I Do Adore|Mindy Gledhill|149160
I'll Be Home For Christmas|Dave Barnes|183293
Fuck You|Get Dead|169266
Christmas Comes But Once A Year|Albert King|272640
Christmas Comes But Once A Year|Albert King|272640
If I Ain't Got You - Acoustic|John Adams|176509
Believe - Acoustic|John Adams|179886
Iris - Acoustic|Adam Christopher|184200
Rain - Long Ver.|Motohiro Hata|447306
C'est si bon|Aoi Teshima|108346
Baby (Acoustic Version)|Jonah Baker|160768
Reason|YUZU|304320
I Like Me Better|Boyce Avenue;Emma Heesters|201508
Asan Ka Na Ba|Zack Tabudlo|241132
A Thousand Years|Boyce Avenue|263710
drivers license|Thomas Daniel|246345
Love Someone|Jason Mraz|257173
The Winner Takes It All - Acoustic|Jae Hall|159012
Only Time|Aaron Espe|178546
Almost Lover|A Fine Frenzy|268800
Dance Monkey|Roses & Frey|197850
Ocean|Parachute|222400
Dream a Little Dream of Me|Kina Grannis|142379
Back For Good|The Mayries|194667
OK|Canyon City|212400
Just The Two Of Us|Andrew Foy;Renee Foy|196304
Hey There Delilah|Boyce Avenue|230868
Arcade|Andrew Foy;Renee Foy|186738
Yellow|Kina Grannis|193536
Wake Me Up|Roses & Frey|196819
Walking Blind|Aidan Hawken|201440
Headphones|Jon Bryant|204998
Teenage Dream|The Rescues|219093
The Worth Of The Wait|Ivan & Alyosha|171800
Can't Help Falling In Love - Piano Version|Kina Grannis|211624
Never Come Back Again|Austin Plaine|196240
Love You To Death|Chord Overstreet|199459
Someone You Loved - Acoustic|Plamina|169253
What a Wonderful World|Kina Grannis;Imaginary Future|137066
You Broke Me First|Andrew Foy;Renee Foy|128798
Long Way Down|Joshua Hyslop|257972
She Is Love|Parachute|146066
Marigold|Phillip LaRue|172708
12:51|krissy & ericka|246280
サンサーラ|Takehara Pistol|331984
Sons and Daughters|Allman Brown;Liz Lawrence|216052
Brand New|Ben Rector|243933
Gotta Have You|The Weepies;Deb Talan;Steve Tannen|199786
30,000 Feet|Ben Rector|256933
A Thousand Years|Eddy Tyler|279916
Jolene|Ray LaMontagne|250866
No Ceiling|Eddie Vedder|94053
Front Porch|Joy Williams|231813
Goodbye Lulu|Days N Daze|150047
Three More Days|Ray LaMontagne|216773
Isn't She Lovely - Acoustic|Callum J Wright|145771
We Could Still Be Happy|Rachael Yamagata|279260
Fix You - Acoustic|John Adams|162963
I'm Yours - Acoustic|Lusaint|166189
Closer|Boyce Avenue;Sarah Hyland|244188
A Sky Full of Stars|Mother's Daughter;Beck Pete|165067
I Don't Believe in Satan|Aron Wright|208571
Pills|The Perishers|189240
Shallow - Acoustic|Tyler Ward;Madysyn|182553
Watermelon Sugar - Acoustic|Jonah Baker|183093
Say You Won't Let Go - Acoustic|Matt Johnson;Jaclyn Davies|243724
Hikare Inochi|Kitri|322146
Call You Mine (Acoustic Piano)|Ben Woodward|209554
For Now|Kina Grannis|198403
Sweet Dream|Greg Laswell|67746
Love Nwantiti|Andrew Foy|129032
Stars Are on Your Side|Ross Copperman|218004
We Don't Talk Anymore / Cold (feat. Sara Phillips)|Jonah Baker;Sara Phillips|222911
Superman|Joe Brooks|206693
Chasing Cars|Boyce Avenue|246979
Calm Me Down|Zack Tabudlo|282950
KISSして|Masaharu Fukuyama|222626
Binibini (Last Day On Earth) (feat. James TW)|Zack Tabudlo;James TW|219692
Left for America|Ciaran Lavery|170786
Ramparts|John Frusciante|70133
Hold On - Acoustic|Chord Overstreet|200346
Dust to Dust|The Civil Wars|229653
Good night|Masaharu Fukuyama|354213
As You Are|Zack Tabudlo|183969
Binibini|Zack Tabudlo|221538
It Aint Me|Sara Farell|192545
Say Something|A Great Big World|233266
The Lotto|Ingrid Michaelson;AJR|193695
Tamacun|Rodrigo y Gabriela|205800
Make It Without You|Andrew Belle|272612
Dream|Priscilla Ahn|211240
Big Love, Small Moments|JJ Heller|204293
I Am Not Alone|Priscilla Ahn|252386
Stand Your Ground|Joshua Hyslop|203253
Perfect Man|Front Porch Step|291332
あ。っという間はあるさ|Takehara Pistol|172373
Tell The World|Eric Hutchinson|161328
Ain't No Reason|Brett Dennen|220306
A Month from Now|Rail Yard Ghosts|192392
What If|Five For Fighting|207228
Pussy Cat|The Bridge City Sinners|122874
Polaroid Picture|Frank Turner|223015
I Bet On Flying High|Matt Costa|155000
I Bet On Flying High|Matt Costa|155000
I Bet On Flying High|Matt Costa|155000
Mirrors - Acoustic|Jonah Baker|224170
To the Wonder (feat. Kina Grannis)|Aqualung;Kina Grannis|239004
Stay - Acoustic|Jonah Baker|181311
太陽さん|Ichiko Aoba|144653
Oh What A Love|Kina Grannis|235135
Leave The Lights On|Meiko|248360
I Won't Let You Down|Erin McCarley|198344
Look For The Good (Single Version)|Jason Mraz|239697
Stargazing|Isabella Celander|186334
Bad Liar|Roses & Frey|226877
Is It You|Rachael Yamagata|273260
Slow Down Time|Us The Duo|196920
2002 - Acoustic|Amber Leigh Irish|145056
Sweeter|Jess Penner|196026
Heat Waves - Acoustic|Daniel Robinson|193027
アジアの純真|Yosui Inoue;Tamio Okuda|233280
If the World Was Ending - Acoustic|Jonah Baker;Celine|213091
Comes And Goes (In Waves)|Greg Laswell|253546
ながれ星|Masaharu Fukuyama|317400
Dusk Till Dawn - Acoustic|Blame Jones|167616
Don't Wanna Leave You|Ben Woodward|211672
Passenger Seat|Stephen Speaks|274245
Love|Matt White|170040
Hallelujah|Boyce Avenue|267765
Ashes|Madi Diaz|250146
明日の☆SHOW|Masaharu Fukuyama|290480
Love Me Like You Do|Boyce Avenue|198218
Lost Sparks|Canyon City|225400
Who We Are|Tristan Prettyman|259877
Heart (Original Version)|Masaharu Fukuyama|288426
It'll Be Alright|JJ Heller|219363
Everybody|Ingrid Michaelson|208426
Kabilugan Ng Buwan|Mark Oblea|283480
Keep Breathing|Ingrid Michaelson|205586
Fast Car|Boyce Avenue;Kina Grannis|304293
Just the Way You Are|Boyce Avenue|239573
The Ladder|Andrew Belle|227128
HELLO (Original Version)|Masaharu Fukuyama|243066
接吻|Hanare Gumi|369200
Can't Keep It Inside|Brett Dennen;Benedict Cumberbatch|77093
明日天気になれ|Hanare Gumi|244840
IT'S ONLY LOVE|Masaharu Fukuyama|275266
それがすべてさ|Masaharu Fukuyama|330720
I Don't Wanna Love Somebody Else|A Great Big World|163960
Burn It All!|RENT STRIKE|193874
Carried Me With You|Brandi Carlile|213732
O, Pennsyltucky!|Mischief Brew|227053
I Believed You, William Blake|Frank Turner|215440
Pepperspray|Get Dead|136543
Stickup|Get Dead|223707
Heaven - Acoustic|Grace George|188181
Soldier's Eyes|Jack Savoretti|171760
Asleep Among Endives|Ichiko Aoba|306243
Symphony - Acoustic|Thomas Daniel|192389
When I Was Your Man|Boyce Avenue;Fifth Harmony|218472
Save Your Tears - Acoustic|Amber Leigh Irish|177818
Koi|Gen Hoshino|251266
July Bones|Richard Walters|239400
Autumn Breeze|Kaiak;Viktoria Tolstoy|241413
Save Your Tears|Boyce Avenue|216800
You're Still The One - Acoustic|Bailey Rushlow|161306
Somebody Loved|Kina Grannis|153105
Rise|Boyce Avenue|202167
Bohemian Rhapsody - Acoustic|John Adams|173426
As It Was - Acoustic|Amber Leigh Irish|144644
Wish List|Canyon City|212760
Beautiful Disaster|Chord Overstreet|241758
Fake a smile|Wayne Mack|169600
Marigold|Aimyon|306626
River Flows In You|Sungha Jung|214466
Kill Me Pretty|Tamio Okuda|160466
No Matter Where You Are|Us The Duo|178826
I Like You|Ben Rector|138506
The Mess I Made|Parachute|230613
Dream a Little Dream of Me|Zee Avi|111842
Here, Right Now|Joshua Radin|183213
Wonderful Tonight|Boyce Avenue|220507
Salvation|Gabrielle Aplin|248506
Wilderness|Jon Bryant|269986
恋人 (Original Version)|Masaharu Fukuyama|272773
I Just Called To Say I Love You|Bailey Pelkman;Randy Rektor|189646
Fall on Me|A Great Big World;Christina Aguilera|262820
Song To Sing When I'm Lonely|John Frusciante|195213
A Drop In the Ocean|Ron Pope|228311
Have Yourself a Merry Little Christmas|Tres Hermanas|155792
Message (Original Version)|Masaharu Fukuyama|256506
Beautiful In White|Matt Johnson|240000
Heaven Is a Place on Earth|The Mayries|193333
Passenger Seat (Acoustic)|Stephen Speaks|273066
Guaranteed - Humming Version|Eddie Vedder|162309
Hang Me, Oh Hang Me|Dave Van Ronk|190106
The Afterglow|John Frusciante;Josh Klinghoffer|319320
Eat the Meek|Frank Turner|237093
The Trouble with Wanting|Joy Williams|235586
You Are the Best Thing|Ray LaMontagne|231840
Boycott Me!|Mischief Brew|163666
To Risk to Live|Days N Daze;Freddie Boatright|122026
The Legend of Olog-hai, Pt. 1|The Bridge City Sinners|165799
No Christmas For Me|Zee Avi|160666
This One's for Johnny|Get Dead|195640
Graveyard - Acoustic|Highland Peak|254296
bouquet|Ichiko Aoba|256361
こころをこめて|Aoi Teshima|297266
Paradise|AcousticTrench|170125
Better|Parachute|273026
Laid|Matt Nathanson|182826
Same For You|Lee DeWyze|217373
2U - Acoustic Version|Clementine Duo|208102
Duet|Rachael Yamagata|241120
I'll Say I Do|Brandon Chase|235000
Anyone|Bailey Jehl|172766
Start of Time|Gabrielle Aplin|239855
Give Me Your Forever|Zack Tabudlo|244800
Heat Waves|Bailey Jehl|141286
There She Goes|Clementine Duo|145514
Wells|Joshua Hyslop|223386
God Only Knows|Kina Grannis;Imaginary Future|136542
Afterglow|Andrew Foy;Renee Foy|211358
Burn The Rain|Kurt Cobain|76453
Already Mine|Us The Duo|273126
きみはぼくのともだち|Hanare Gumi|268736
Never Be the Same|Gabrielle Aplin|205658
All Is Well|Austin Basham|256680
My Mistake|Gabrielle Aplin|265386
Near Or Far|Us The Duo|219306
Without a Light|Drew Holcomb & The Neighbors|142200
Lonely With Me|Parachute|218813
Time After Time|Boyce Avenue;Megan Davies;Jaclyn Davies|222250
So Are You To Me|Eastmountainsouth|117760
My Arms Were Always Around You|Peter Bradley Adams|200800
Dance Me to the End of Love - Bonus|The Civil Wars|185053
Photographs|Eddie Vedder|60413
Baby Now That I Found You|Suy Galvez|244813
Right Here Waiting|Suy Galvez|169733
Smokestack Lightnin'|Howlin' Wolf|188400
Passenger Seat|Stephen Speaks|274480
Feels Like Rain (feat. Bonnie Raitt)|Buddy Guy;Bonnie Raitt|275266
Sugar Babe|Mance Lipscomb|124400
Blister In The Sun|Violent Femmes|145706
Little Blue Pills, Pt. 2|Days N Daze|265195
Paano Ang Simbang Gabi - Kung 'Di Ka Katabi|Drei Rana;Selena Marie|235722
Bob|Frank Turner|188952
Psycho|Harley Poe|241250
Perfect Government|Frank Turner|146129
The Fear|The Bridge City Sinners|161205
Living My Best Life|Ben Rector|215213
Haven't Been Doing So Well|Frank Turner|196813
The Legend of Olog-hai, Pt. 2|The Bridge City Sinners|184217
You and Me On The Rock (feat. Lucius)|Brandi Carlile;Lucius|230098
Glitch|Get Dead|129472
A Thousand Years - Acoustic|Jonah Baker|249728
2 Oceans|Trevor Hall;Marieme|213055
Golden Hour - Acoustic Piano|Ben Woodward|168571
Without Me|Brandon Chase|202219
You & Me (The Wildfire)|Aron Wright|242347
Dancing With A Stranger|Sara Farell|188735
Pero|Zack Tabudlo|256648
Good 4 U (Acoustic)|Jonah Baker|174677
And Then You|Greg Laswell|209583
Here With Me - Acoustic|Daniel Robinson|164478
I'll Be There For You (Friends Theme)|Boyce Avenue|138201
Habang Buhay|Zack Tabudlo|244067
So Far so Good|Gabrielle Aplin|198040
More Than Gravity|Colin & Caroline|266078
Fade into You|Andrew Belle|291676
東京にもあったんだ|Masaharu Fukuyama|382786
あの夏も 海も 空も|Masaharu Fukuyama|322906
21 Guns|Bailey Jehl|243979
Waves|Canyon City|262954
Running Up That Hill (A Deal With God) - Acoustic|Jonah Baker|168042
Poison's Gone|Kurt Cobain|131800
18 ~eighteen~|Masaharu Fukuyama|326600
Build Me Up Buttercup|Kina Grannis|166320
Umbrella - Acoustic Version|The Mayries|178319
Home|Gabrielle Aplin|249386
You're My Home|Joshua Radin|200893
vs.2013 ~知覚と快楽の螺旋~|Masaharu Fukuyama|292493
I Like Me Better|Ysabelle Cuevas|189673
The Remedy (I Won't Worry)|Jason Mraz|256440
Something Stupid|Bailey Pelkman;Randy Rektor|147809
Hanap-Hanap|Ethan Loukas;Janine Teñoso|246644
The Will To Death|John Frusciante|228426
Boulevard of Broken Dreams (Acoustic)|Adam Christopher|207400
Can't Help Falling In Love|Kina Grannis|188354
Eloise|Penny and Sparrow|168712
Help Me|Sonny Boy Williamson II|188200
Everytime We Touch (Acoustic)|Shannon & Keast|181496
Let It Be Me|Ray LaMontagne|280226
Beer|Mia Rollo|254306
Someone Like You|Boyce Avenue|276146
You've Got a Friend|Suy Galvez|274720
This Little Light of Mine|JJ Heller|159820
Amazing Grace|Takehara Pistol|178573
Remnants of What People Used to Be|Days N Daze|175046
Linda Ronstadt|AJJ|180771
Unsteady - Acoustic Covers Versions of Popular Songs|SANNA NORTH|191052
Heart's Content|Brandi Carlile|214666
The Damned|The Bridge City Sinners|167466
Hot Knives|Pigeon Pit|252760
Nickel Plated|Get Dead|136815
Peaches - Acoustic|Adam Christopher|190909
You|A Great Big World|218133
Swimmers|Andrew Belle|181093
Live Like We're Dying|Kris Allen|212506
Somebody That I Used To Know|Lúc|172454
Lost Without You|Ben Woodward|234046
One more time, One more chance|Masayoshi Yamazaki|330200
you broke me first|The Mayries|190981
Skylight|Gabrielle Aplin|240449
Game of Thrones|Edy Hafler|89268
Nothing Like You and I|The Perishers|213453
Wanted Man|Mat Kearney|235106
Back To You|The Mayries|219976
何度でも花が咲くように私を生きよう|Masaharu Fukuyama|259493
Scared to Be Lonely|Boyce Avenue|222052
Sappy - Early Demo|Kurt Cobain|148573
Ancient Light|Allman Brown|244900
I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version|Sara Farell;Simon Samaeng|232500
Before You Go|Andrew Foy;Renee Foy|195535
Ships In The Night|Mat Kearney|255893
Only You|Joshua Radin|149013
Waver|Sakura Fujiwara|207933
Missing Peace|JJ Heller|238733
聖域|Masaharu Fukuyama|236853
Firework|Canyon City|182744
Such A Simple Thing - Recorded at Sound Stage Studios Nashville|Ray LaMontagne|307534
"Sad Theme (From ""One Punch Man"")"|Eddie van der Meer|81000
Don't Know What I Want|Gabrielle Aplin|145720
Call Me|Gabrielle Aplin|208400
True|Suy Galvez|287760
I Can't Make You Love Me|Boyce Avenue;Rachel Grae|243680
Say Anything|Tristan Prettyman|236379
All We Are|Matt Nathanson|216933
Gentle Heart|Joshua Hyslop|265173
All My Loving (Original Version)|Masaharu Fukuyama|245800
アンダルシアに憧れて|Masayoshi Yamazaki|358040
想 -new love new world-|Masaharu Fukuyama|280546
Last Christmas|Drei Rana|230915
Green Mountain State|Trevor Hall|274632
Di Papakawalan|Maris Racal|244528
Can't Go Back Now|The Weepies;Deb Talan;Steve Tannen|137880
ウイスキーが、お好きでしょ|Hanare Gumi|152100
Ditches|Days N Daze|162282
Outside Villanova|Eric Hutchinson|255680
Timeline|Apes of the State|216894
I'll Never Fall in Love Again|Gail Blanco|239000
Stray Cat Strut|The Bridge City Sinners|128731
Goodbye Lulu Pt.2|Days N Daze|381910
Days n Daze of Our Lives|Days N Daze|196161
8 Track|Get Dead|156533
Ghost - Acoustic|Jonah Baker|155050
4am|Eden Elf;Ren Avel|125677
10,000 Hours - Acoustic|Adam Christopher;Dan Berk|169058
Yellow - Acoustic|Amber Leigh Irish|196724
No Air|Lúc|199114
Self Help|Anna Hamilton|156923
Blackbird Song|Lee DeWyze|254615
Easy On Me - Acoustic|Jonah Baker|222186
Chasing Cars - Acoustic|Bailey Rushlow|236298
Can't Take My Eyes Off of You|Emilie Mover|203024
Fortune - Acoustic|William Fitzsimmons|228013
Lot To Learn|Vivid Color|226470
Apologize|Bailey Jehl|181596
First & Last|Zack Tabudlo|192631
Cold, Cold Feeling|Albert Collins|318840
Sweet Love|Phillip LaRue|267862
Shotgun|Us The Duo|174884
HEY!|Masaharu Fukuyama|347200
Have It All|Jason Mraz|226098
Trouble Sleeping|The Perishers|282133
Beautiful Disaster|Jon McLaughlin|251640
Breathe Again|Sara Bareilles|298280
Trouble|Ray LaMontagne|241546
Memories|Boyce Avenue|197170
Sink Or Swim|Tyrone Wells|178093
Tama Na|EJ De Perio|230545
"He's A Pirate (From ""Pirates of the Caribbean"")"|Beyond The Guitar|163813
能古島の片想い - Remastered 2018|Yosui Inoue|212080
Bitter Heart|Zee Avi|156773
I Want to Know What Love Is - Acoustic|Hannah's Yard|171486
ハンキーパンキー|Hanare Gumi|312133
Ordinary Days|JJ Heller|248386
Moon River|JJ Heller|291386
Forever Like That|Ben Rector|254026
Neighbor|JJ Heller|236000
一等賞|Takehara Pistol|133840
音タイム|Hanare Gumi|229533
The Joke|Brandi Carlile|279373
Toulumne|Eddie Vedder|60306
Just The Two Of Us - Acoustic|Vendredi;Son&Dad|124742
Arrythmic Palpitations|Chris Cresswell|169000
The Boat|Chuck Ragan|196213
